Name,RP,IP,Popularity,Win Rate,Ban Rate,Meta,Released,Difficulty
"Aatrox","975","6300","12.52%","52.12%","34.32%","Top Lane","6/13/2013",6
"Ahri","975","6300","15.84%","51.25%","60.63%","Middle Lane","12/14/2011",8
"Akali","790","3150","5.62%","48.36%","0.14%","Middle Lane","5/11/2010",6
"Alistar","585","1350","5.4%","45.41%","0.04%","Support","2/21/2009",8
"Amumu","585","1350","9.65%","53.58%","0.92%","Jungler","6/26/2009",4
"Anivia","790","3150","1.66%","49.28%","0.04%","Middle Lane","7/10/2009",8
"Annie","260","450","12.29%","50.96%","0.7%","Middle Lane","2/21/2009",8
"Ashe","260","450","11.07%","49.94%","0.08%","AD Carry","2/21/2009",4
"Blitzcrank","790","3150","15.13%","50.6%","13.31%","Support","9/2/2009",4
"Brand","880","4800","4.89%","52.7%","0.12%","Middle Lane","4/12/2011",6
"Caitlyn","880","4800","41.97%","50.04%","2.41%","AD Carry","1/4/2011",6
"Cassiopeia","880","4800","1.99%","51.78%","0.12%","Middle Lane","12/14/2010",10
"Cho'Gath","585","1350","5.64%","46.63%","0.06%","Top Lane","6/26/2009",7
"Corki","790","3150","19.78%","52.76%","28.05%","AD Carry","9/19/2009",7
"Darius","975","6300","6.22%","49.36%","0.05%","Top Lane","5/23/2012",4
"Diana","975","6300","7.22%","48.01%","0.21%","Middle Lane","8/7/2012",4
"Dr. Mundo","585","1350","1.79%","46.22%","0.04%","Jungler","9/2/2009",4
"Draven","975","6300","9.62%","53.09%","0.55%","AD Carry","6/6/2012",10
"Elise","975","6300","10.06%","47.81%","30.73%","Top Lane","10/26/2012",8
"Evelynn","585","1350","4.87%","50.24%","2.71%","Middle Lane","5/1/2009",8
"Ezreal","880","4800","31.18%","48.63%","0.78%","AD Carry","3/16/2010",8
"Fiddlesticks","585","1350","11.7%","53.08%","5.41%","Jungler","2/21/2009",5
"Fiora","975","6300","3.8%","51.64%","0.15%","Top Lane","2/29/2012",5
"Fizz","975","6300","11.65%","50.03%","60.89%","Middle Lane","11/15/2011",8
"Galio","880","4800","0.95%","50.5%","0.08%","Middle Lane","8/10/2010",4
"Gangplank","790","3150","3%","47.79%","0.07%","Top Lane","8/19/2009",5
"Garen","260","450","12.23%","48.48%","0.27%","Top Lane","4/27/2010",2
"Gragas","790","3150","12.84%","47.36%","4.5%","Middle Lane","2/2/2010",6
"Graves","975","6300","7.33%","49.16%","0.07%","AD Carry","10/19/2011",4
"Hecarim","975","6300","7.67%","50.99%","1.64%","Jungler","4/18/2012",5
"Heimerdinger","790","3150","0.93%","47.32%","0.51%","Middle Lane","10/10/2009",4
"Irelia","880","4800","3.5%","49.06%","0.13%","Top Lane","11/16/2010",5
"Janna","585","1350","14.17%","54.48%","0.16%","Support","9/2/2009",9
"Jarvan IV","880","4800","24.04%","52.59%","17.52%","Jungler","3/1/2011",5
"Jax","585","1350","24.8%","50.14%","7.71%","Top Lane","2/21/2009",6
"Jayce","975","6300","4.9%","47.42%","0.1%","Top Lane","7/7/2012",8
"Jinx","975","7800","7%","50.96%","9.83%","AD Carry","10/10/2013",9
"Karma","395","3150","2.07%","47.6%","0.05%","Support","2/1/2011",8
"Karthus","790","3150","2.27%","48.03%","0.17%","Middle Lane","6/12/2009",8
"Kassadin","790","3150","8.42%","52.23%","84.2%","Middle Lane","8/7/2009",8
"Katarina","790","3150","7.1%","50.5%","0.19%","Middle Lane","9/19/2009",5
"Kayle","260","450","7.39%","52.78%","0.7%","Middle Lane","2/21/2009",5
"Kennen","880","4800","6.28%","50.38%","0.68%","Middle Lane","4/8/2010",5
"Kha'Zix","975","6300","6.29%","47.25%","0.17%","Top Lane","9/27/2012",7
"Kog'Maw","880","4800","1.83%","49.14%","0.03%","AD Carry","6/24/2010",8
"LeBlanc","790","3150","4.41%","44.32%","0.88%","Middle Lane","11/2/2010",9
"Lee Sin","440","4800","29.89%","47.32%","12.86%","Jungler","4/1/2011",9
"Leona","880","4800","28.82%","50.96%","0.18%","Support","7/13/2011",4
"Lissandra","975","6300","4.81%","46.23%","1.31%","Middle Lane","4/30/2013",8
"Lucian","975","6300","4.13%","50.07%","0.07%","AD Carry","8/22/2013",8
"Lulu","975","6300","6.46%","46.92%","0.06%","Support","3/20/2012",7
"Lux","790","3150","18.6%","49.64%","0.13%","Middle Lane","10/19/2010",6
"Malphite","585","1350","9.44%","49.14%","0.43%","Top Lane","9/2/2009",3
"Malzahar","880","4800","3.91%","53.71%","0.09%","Middle Lane","6/1/2010",6
"Maokai","880","4800","3.48%","49.73%","0.04%","Jungler","2/16/2011",4
"Master Yi","260","450","8.58%","49.63%","0.04%","Middle Lane","2/21/2009",2
"Miss Fortune","790","3150","7.76%","50.79%","0.04%","AD Carry","9/8/2010",3
"Mordekaiser","790","3150","2.61%","50.22%","0.07%","Top Lane","2/24/2010",3
"Morgana","585","1350","5.81%","49.19%","0.03%","Middle Lane","2/21/2009",6
"Nami","975","6300","12.78%","49.94%","0.02%","Support","12/7/2012",8
"Nasus","585","1350","18.66%","52%","3.05%","Top Lane","10/1/2009",2
"Nautilus","975","6300","4.29%","49.83%","0.32%","Jungler","2/14/2012",6
"Nidalee","790","3150","14.77%","51.49%","1.91%","Top Lane","12/17/2009",7
"Nocturne","880","4800","6.51%","48.37%","0.48%","Jungler","3/15/2011",6
"Nunu","260","450","4.2%","47.21%","0.04%","Support","2/21/2009",1
"Olaf","790","3150","3.26%","41.46%","0.09%","Top Lane","6/9/2010",4
"Orianna","880","4800","15.32%","48.39%","7.3%","Middle Lane","6/1/2011",10
"Pantheon","790","3150","7.55%","48.6%","0.11%","Top Lane","2/2/2010",5
"Poppy","260","450","0.87%","47.59%","0.09%","Top Lane","1/13/2010",7
"Quinn","487","6300","3.51%","49.74%","0.06%","AD Carry","3/1/2013",7
"Rammus","790","3150","5.03%","54.62%","0.37%","Jungler","7/10/2009",5
"Renekton","880","4800","16.4%","50.11%","4.85%","Top Lane","1/17/2011",3
"Rengar","975","6300","4.53%","46.56%","0.58%","Jungler","8/20/2012",5
"Riven","880","4800","15.31%","51.17%","3.89%","Top Lane","9/14/2011",4
"Rumble","880","4800","2.18%","49.21%","0.04%","Top Lane","4/26/2011",8
"Ryze","260","450","4.64%","47.68%","0.18%","Middle Lane","2/21/2009",3
"Sejuani","975","6300","5.61%","52.07%","0.08%","Jungler","1/17/2012",4
"Shaco","790","3150","3.63%","50.11%","0.94%","Jungler","10/10/2009",9
"Shen","790","3150","12.75%","46.87%","23.83%","Top Lane","3/24/2010",3
"Shyvana","975","6300","3.95%","50.87%","0.75%","Jungler","11/1/2011",4
"Singed","585","1350","4.85%","51.37%","1.02%","Top Lane","4/18/2009",5
"Sion","585","1350","1.42%","49.21%","0.04%","Middle Lane","2/21/2009",4
"Sivir","260","450","1.91%","48.76%","0.01%","AD Carry","2/21/2009",5
"Skarner","880","4800","1.38%","49.19%","0.03%","Jungler","8/9/2011",5
"Sona","790","3150","24.82%","53.01%","0.32%","Support","9/20/2010",1
"Soraka","260","450","5.54%","49.76%","0.06%","Support","2/21/2009",3
"Swain","880","4800","3.15%","51.47%","0.06%","Middle Lane","10/5/2010",5
"Syndra","975","6300","2.63%","44.54%","0.1%","Middle Lane","9/13/2012",10
"Talon","880","4800","3.33%","50.63%","0.08%","Top Lane","8/24/2011",6
"Taric","585","1350","8.04%","50.85%","0.04%","Support","8/19/2009",3
"Teemo","585","1350","8.19%","52.42%","0.4%","Top Lane","2/21/2009",4
"Thresh","975","6300","26.32%","48.12%","34.9%","Support","1/23/2013",7
"Tristana","585","1350","12.38%","48.29%","0.03%","AD Carry","2/21/2009",3
"Trundle","880","4800","1.67%","47.3%","0.03%","Jungler","12/1/2010",5
"Tryndamere","585","1350","9.17%","52.19%","2.99%","Top Lane","5/1/2009",6
"Twisted Fate","585","1350","3.47%","46.52%","1.51%","Middle Lane","2/21/2009",9
"Twitch","790","3150","6.07%","50.08%","0.15%","AD Carry","5/1/2009",8
"Udyr","585","1350","7.12%","50.26%","0.16%","Jungler","12/2/2009",5
"Urgot","790","3150","0.47%","43.32%","0.04%","AD Carry","8/24/2010",8
"Varus","975","6300","14.01%","49.76%","0.09%","AD Carry","5/8/2012",6
"Vayne","880","4800","25.59%","48.81%","23.88%","AD Carry","5/10/2011",7
"Veigar","585","1350","2.7%","46.26%","0.09%","Middle Lane","7/24/2009",6
"Vi","975","6300","16.17%","49.9%","14.71%","Jungler","12/19/2012",5
"Viktor","975","6300","2.3%","49.98%","0.08%","Middle Lane","12/29/2011",9
"Vladimir","880","4800","6.19%","47.28%","0.27%","Middle Lane","7/27/2010",2
"Volibear","975","6300","6.75%","50%","0.02%","Jungler","11/29/2011",2
"Warwick","260","450","6.25%","51.45%","0.04%","Jungler","2/21/2009",2
"Wukong","880","4800","6.3%","53.01%","0.05%","Top Lane","7/26/2011",3
"Xerath","880","4800","1.63%","51.03%","0.18%","Middle Lane","10/5/2011",6
"Xin Zhao","790","3150","9.55%","50%","0.04%","Jungler","7/13/2010",6
"Yorick","880","4800","2.63%","49.71%","0.11%","Top Lane","6/22/2011",3
"Zac","975","6300","6.92%","47.73%","5.54%","Jungler","3/29/2013",6
"Zed","975","6300","13.27%","48.16%","75.07%","Top Lane","11/13/2012",9
"Ziggs","975","6300","1.83%","48.06%","0.1%","Middle Lane","2/1/2012",6
"Zilean","585","1350","1.21%","49.98%","0.07%","Middle Lane","4/18/2009",4
"Zyra","975","6300","13.74%","52.03%","1.19%","Middle Lane","7/24/2012",7
